,s,t,syn,phon,morph,lex,LM,S_s,S_t
0,ben,ara,0.2962962962962963,0.6153846153846154,0.1111111111111111,0.3439018151391013,0.12425882511129782,0.679621656612807,0.3337545609561536
1,eng,ara,0.42105263157894735,0.6,0.02564102564102564,0.3040943021438205,0.12425882511129782,0.683939061733871,0.5423989314466677
2,fin,ara,0.43859649122807015,0.6,0.07692307692307693,0.29870125850384693,0.12425882511129782,0.7644417024891962,0.5759407368144067
3,ind,ara,0.47058823529411764,0.6,0.02564102564102564,0.3092520502202934,0.12425882511129782,0.8044051176907978,0.648012838486849
4,kor,ara,0.2711864406779661,0.4,0.05714285714285714,0.34114224666795556,0.12425882511129782,0.5859059936685502,0.36214366421822924
5,rus,ara,0.48148148148148145,0.6923076923076923,0.05263157894736842,0.2932031297749456,0.12425882511129782,0.7622946829498839,0.5928291550289803
6,swh,ara,0.5581395348837209,0.5,0.02702702702702703,0.353414301441441,0.12425882511129782,0.7567256575916822,0.44872536460155676
7,tel,ara,0.2682926829268293,0.6153846153846154,0.2,0.3501339457552749,0.12425882511129782,0.7313368806325812,0.36770151017494057
8,ara,ben,0.2962962962962963,0.6153846153846154,0.1111111111111111,0.3439018151391013,0.024495991221517945,0.7799369890856496,0.5341271192215885
9,eng,ben,0.2631578947368421,0.8,0.02564102564102564,0.28745462863995574,0.024495991221517945,0.683939061733871,0.5039493265622746
10,fin,ben,0.3684210526315789,0.8,0.05128205128205128,0.30842916900598966,0.024495991221517945,0.7644417024891962,0.5471569237055962
11,ind,ben,0.2631578947368421,0.8888888888888888,0.02564102564102564,0.30056897271302124,0.024495991221517945,0.8044051176907978,0.5052397700627789
12,kor,ben,0.6470588235294118,0.6666666666666666,0.08823529411764706,0.30222721637126726,0.024495991221517945,0.5859059936685502,0.42389535243517534
13,rus,ben,0.35,0.8888888888888888,0.02631578947368421,0.31450953144856314,0.024495991221517945,0.7622946829498839,0.5719294933766561
14,swh,ben,0.25,0.7,0.02702702702702703,0.3157254374089421,0.024495991221517945,0.7567256575916822,0.48424350968598745
15,tel,ben,0.46153846153846156,1.0,0.16666666666666666,0.33630239842400833,0.024495991221517945,0.7313368806325812,0.5496551625394342
16,ara,eng,0.42105263157894735,0.6,0.02564102564102564,0.3040943021438205,0.08954354399542713,0.7799369890856496,0.6479486774063439
17,ben,eng,0.2631578947368421,0.8,0.02564102564102564,0.28745462863995574,0.08954354399542713,0.679621656612807,0.46826832571539817
18,fin,eng,0.5952380952380952,0.8333333333333334,0.5128205128205128,0.24631881630906338,0.08954354399542713,0.7644417024891962,0.5766215556149983
19,ind,eng,0.5641025641025641,0.8333333333333334,0.3333333333333333,0.2415028529974784,0.08954354399542713,0.8044051176907978,0.6687505757300763
20,kor,eng,0.4523809523809524,0.5833333333333334,0.3333333333333333,0.27903532457354935,0.08954354399542713,0.5859059936685502,0.4656827768241214
21,rus,eng,0.7027027027027027,0.8181818181818182,0.5384615384615384,0.2552278640267641,0.08954354399542713,0.7622946829498839,0.6671464434515201
22,swh,eng,0.26666666666666666,0.8333333333333334,0.4358974358974359,0.3006825581158139,0.08954354399542713,0.7567256575916822,0.4801540250957819
23,tel,eng,0.3333333333333333,0.8,0.1282051282051282,0.30379245608848604,0.08954354399542713,0.7313368806325812,0.5587716332632351
24,ara,fin,0.43859649122807015,0.6,0.07692307692307693,0.29870125850384693,0.10758917820334869,0.7799369890856496,0.6167429612110504
25,ben,fin,0.3684210526315789,0.8,0.05128205128205128,0.30842916900598966,0.10758917820334869,0.679621656612807,0.46958139655250747
26,eng,fin,0.5952380952380952,0.8333333333333334,0.5128205128205128,0.24631881630906338,0.10758917820334869,0.683939061733871,0.5529225701417871
27,ind,fin,0.4878048780487805,0.8333333333333334,0.3076923076923077,0.25783678998321197,0.10758917820334869,0.8044051176907978,0.5548145759291532
28,kor,fin,0.5365853658536586,0.5833333333333334,0.3333333333333333,0.300027256465239,0.10758917820334869,0.5859059936685502,0.44580340639806715
29,rus,fin,0.7297297297297297,0.8181818181818182,0.5897435897435898,0.25057038264944664,0.10758917820334869,0.7622946829498839,0.6019461328540239
30,swh,fin,0.26666666666666666,0.6923076923076923,0.38461538461538464,0.31717597146596,0.10758917820334869,0.7567256575916822,0.46584691868167744
31,tel,fin,0.4666666666666667,0.8,0.20512820512820512,0.31850245154606077,0.10758917820334869,0.7313368806325812,0.4751200543649732
32,ara,ind,0.47058823529411764,0.6,0.02564102564102564,0.3092520502202934,0.10142212133227829,0.7799369890856496,0.6902508682011974
33,ben,ind,0.2631578947368421,0.8888888888888888,0.02564102564102564,0.30056897271302124,0.10142212133227829,0.679621656612807,0.4653095565556602
34,eng,ind,0.5641025641025641,0.8333333333333334,0.3333333333333333,0.2415028529974784,0.10142212133227829,0.683939061733871,0.6081403919315109
35,fin,ind,0.4878048780487805,0.8333333333333334,0.3076923076923077,0.25783678998321197,0.10142212133227829,0.7644417024891962,0.6487022358629575
36,kor,ind,0.3181818181818182,0.5833333333333334,0.23076923076923078,0.29617489876184355,0.10142212133227829,0.5859059936685502,0.46862668410927244
37,rus,ind,0.5,0.8181818181818182,0.23076923076923078,0.2651030120076561,0.10142212133227829,0.7622946829498839,0.6780361377367383
38,swh,ind,0.3684210526315789,0.8333333333333334,0.358974358974359,0.31013823152191183,0.10142212133227829,0.7567256575916822,0.5300681509031139
39,tel,ind,0.21212121212121213,0.8888888888888888,0.1282051282051282,0.3124071373523791,0.10142212133227829,0.7313368806325812,0.4746325000682611
40,ara,kor,0.2711864406779661,0.4,0.05714285714285714,0.34114224666795556,0.046023671278360094,0.7799369890856496,0.5254098752694323
41,ben,kor,0.6470588235294118,0.6666666666666666,0.08823529411764706,0.30222721637126726,0.046023671278360094,0.679621656612807,0.46363759080316247
42,eng,kor,0.4523809523809524,0.5833333333333334,0.3333333333333333,0.27903532457354935,0.046023671278360094,0.683939061733871,0.4647149131304975
43,fin,kor,0.5365853658536586,0.5833333333333334,0.3333333333333333,0.300027256465239,0.046023671278360094,0.7644417024891962,0.4432351417544024
44,ind,kor,0.3181818181818182,0.5833333333333334,0.23076923076923078,0.29617489876184355,0.046023671278360094,0.8044051176907978,0.4891927916890389
45,rus,kor,0.5238095238095238,0.5454545454545454,0.47368421052631576,0.3080044174196978,0.046023671278360094,0.7622946829498839,0.43117593584570213
46,swh,kor,0.11764705882352941,0.46153846153846156,0.2631578947368421,0.29825464027020343,0.046023671278360094,0.7567256575916822,0.42846333178856066
47,tel,kor,0.72,0.6666666666666666,0.17142857142857143,0.33510280993379216,0.046023671278360094,0.7313368806325812,0.39629176178089237
